Date,Open,High,Low,Close,Adj Close,Volume
2018-01-16,116.760002,116.839996,112.860001,113.900002,113.900002,1498100
2018-01-17,114.739998,116.239998,112.980003,115.349998,115.349998,1354200
2018-01-18,115.66999799999999,115.860001,113.660004,115.529999,115.529999,920900
2018-01-19,116.239998,117.510002,115.209999,117.019997,117.019997,1169900
2018-01-22,116.879997,118.190002,115.900002,118.029999,118.029999,1612100
2018-01-23,117.739998,119.139999,116.599998,119.099998,119.099998,1277000
2018-01-24,119.260002,121.239998,118.260002,120.989998,120.989998,1198600
2018-01-25,121.120003,121.339996,119.629997,120.91999799999999,120.91999799999999,1250700
2018-01-26,123.339996,123.900002,121.660004,123.639999,123.639999,1488400
2018-01-29,123.519997,123.629997,122.720001,122.889999,122.889999,1386200
